domeinnaam,URL,Organisatietype,Organisatie,Suborganisatie,Afdeling
ctgb.nl,http://www.ctgb.nl,Overheid,LNV,CTGB,
ctivd.nl,http://www.ctivd.nl,Overheid,AZ,CTIVD,
ctpveldzicht.nl,http://www.ctpveldzicht.nl,Rijksoverheid,JenV,DJI,
cultureelerfgoed.nl,http://www.cultureelerfgoed.nl,Rijksoverheid,OCW,RCE,
cultuurparticipatie.nl,http://cultuurparticipatie.nl,Overheid,OCW,FvCp,
cultuursubsidie.nl,http://www.cultuursubsidie.nl,Rijksoverheid,OCW,,
customsnl-insight.nl,http://customsnl-insight.nl,Rijksoverheid,FIN,Belastingdienst,
cvdm.nl,http://www.cvdm.nl,Overheid,OCW,CVDM,
cvdr.overheid.nl,http://cvdr.overheid.nl,Overheid,BZK,UBR,KOOP
cvta.nl,http://www.cvta.nl,Overheid,JenV,CVTA,
cvte.nl,http://www.cvte.nl,Rijksoverheid,OCW,CVTE,
cvte-raadpleging.nl,http://www.cvte-raadpleging.nl,Rijksoverheid,OCW,CVTE,
cyber-magazine.nl,http://www.cyber-magazine.nl,Rijksoverheid,BZK,,DGOO
cybersecurityalliantie.nl,http://www.cybersecurityalliantie.nl,Rijksoverheid,JenV,NCTV,
cybersecuritycouncil.nl,http://www.cybersecuritycouncil.nl,Rijksoverheid,JenV,NCTV,
cybersecurityraad.nl,http://www.cybersecurityraad.nl,Rijksoverheid,JenV,NCTV,
dagvandeforensischezorg.nl,http://www.dagvandeforensischezorg.nl,Rijksoverheid,JenV,DJI,
dashboardgroningen.nl,http://dashboardgroningen.nl,Rijksoverheid,EZK,,
data.forumstandaardisatie.nl,http://data.forumstandaardisatie.nl,Rijksoverheid,BZK,Logius,BFS
data.labs.kadaster.nl,http://data.labs.kadaster.nl,Overheid,BZK,Kadaster,
data.overheid.nl,http://data.overheid.nl,Overheid,BZK,UBR,KOOP
databronnencovid19.nl,http://www.databronnencovid19.nl,Rijksoverheid,VWS,RIVM,
datachallenge.nl,http://www.datachallenge.nl,Rijksoverheid,IenW,RWS,
data-ecosysteem.nl,http://data-ecosysteem.nl,Overheid,EZK,CBS,
datarotterdam.nl,http://www.datarotterdam.nl,Rijksoverheid,IenW,RWS,WNZ
datavoorgezondheid.nl,http://www.datavoorgezondheid.nl,Rijksoverheid,VWS,,Kerndepartement/DI/CIO
datawonen.nl,http://datawonen.nl,Rijksoverheid,BZK,,
dbcregels.nza.nl,http://dbcregels.nza.nl,Overheid,VWS,NZa,
dcc-ienw.nl,http://www.dcc-ienw.nl,Rijksoverheid,IenW,RWS,
dcp-time-slot.cbg-meb.nl,http://dcp-time-slot.cbg-meb.nl,Overheid,VWS,CBG,
dcypher.nl,http://dcypher.nl,Rijksoverheid,EZK,RVO,
deafsluitdijk.nl,http://deafsluitdijk.nl,Rijksoverheid,IenW,RWS,
deaftrapop.nl,http://www.deaftrapop.nl,Rijksoverheid,OCW,,
debaanvanhetleven.nl,http://debaanvanhetleven.nl,Rijksoverheid,OCW,,
debatdirect.tweedekamer.nl,http://debatdirect.tweedekamer.nl,Overheid,TK,,
debatgemist.tweedekamer.nl,http://debatgemist.tweedekamer.nl,Overheid,TK,,
deconcurrenten.nl,http://www.deconcurrenten.nl,Overheid,EZK,ACM,
decor.nictiz.nl,http://decor.nictiz.nl,Rijksoverheid,VWS,,Kerndepartement/DI/CIO
defensie.nl,http://www.defensie.nl,Rijksoverheid,DEF,,Directie Communicatie
defensietalenten.nl,http://defensietalenten.nl,Rijksoverheid,DEF,,Dienstencentrum Personeelslogistiek
dejuistezorgopdejuisteplek.nl,http://www.dejuistezorgopdejuisteplek.nl,Rijksoverheid,VWS,,Kerndepartement/Zorgverzekeringen
dekinderombudsman.nl,http://www.dekinderombudsman.nl,Overheid,NO,,
delerarenagenda.nl,http://www.delerarenagenda.nl,Rijksoverheid,OCW,,
delichtkogel.nl,http://delichtkogel.nl,Rijksoverheid,IenW,RWS,
delpher.nl,http://www.delpher.nl,Overheid,OCW,KB,
deltaflexjenvmobiliteitscentrum.nl,http://deltaflexjenvmobiliteitscentrum.nl,Rijksoverheid,JenV,,
deltaprogramma.nl,http://www.deltaprogramma.nl,Rijksoverheid,IenW,BSK,DC
deltaprogramma.pleio.nl,http://deltaprogramma.pleio.nl,Rijksoverheid,IenW,BSK,DC
deltaprogramma2019.deltacommissaris.nl,http://deltaprogramma2019.deltacommissaris.nl,Rijksoverheid,IenW,BSK,DC
deltaprogramma2020.deltacommissaris.nl,http://deltaprogramma2020.deltacommissaris.nl,Rijksoverheid,IenW,BSK,DC
demijnraad.nl,http://demijnraad.nl,Rijksoverheid,EZK,RVO,
denationaleomgevingsvisie.nl,http://www.denationaleomgevingsvisie.nl,Rijksoverheid,BZK,,
denkdoeduurzaam.nl,http://www.denkdoeduurzaam.nl,Rijksoverheid,BZK,,
denkmee.cvte.nl,http://denkmee.cvte.nl,Rijksoverheid,OCW,CVTE,
derdekamer.nl,http://derdekamer.nl,Overheid,TK,,
derijkscampus.nl,http://www.derijkscampus.nl,Rijksoverheid,BZK,,
designsprint.gebruikercentraal.nl,http://designsprint.gebruikercentraal.nl,Rijksoverheid,BZK,,
designsystem.gebruikercentraal.nl,http://designsystem.gebruikercentraal.nl,Rijksoverheid,BZK,,
designthinking.gebruikercentraal.nl,http://designthinking.gebruikercentraal.nl,Rijksoverheid,BZK,,
deskundigengroepdierziekten.nl,http://www.deskundigengroepdierziekten.nl,Rijksoverheid,LNV,,DG AGRO DAD
detweedekameraanhetwerk.nl,http://www.detweedekameraanhetwerk.nl,Overheid,TK,,
deutsch.postedworkers.nl,http://deutsch.postedworkers.nl,Rijksoverheid,SZW,,DGW/AV
developer.kadaster.nl,http://developer.kadaster.nl,Overheid,BZK,Kadaster,
developer.overheid.nl,http://developer.overheid.nl,Overheid,BZK,UBR,KOOP
dewaardevanouderworden.nl,http://www.dewaardevanouderworden.nl,Rijksoverheid,VWS,,Kerndepartement/DMO
dggf.nl,http://www.dggf.nl,Rijksoverheid,BUZA,,DGGF
dgv.nl,http://www.dgv.nl,Rijksoverheid,DEF,,DGVK
dialooglaatstelevensfase.nl,http://dialooglaatstelevensfase.nl,Rijksoverheid,VWS,,
dictu.nl,http://www.dictu.nl,Rijksoverheid,EZK,DICTU,
dictumagazines.nl,http://www.dictumagazines.nl,Rijksoverheid,EZK,DICTU,
dienstterugkeerenvertrek.nl,http://www.dienstterugkeerenvertrek.nl,Rijksoverheid,JenV,DT&V,
diensttesten.nl,http://www.diensttesten.nl,Rijksoverheid,VWS,,Kerndepartement/DT
diergeneeskunderegister.nl,http://www.diergeneeskunderegister.nl,Rijksoverheid,VWS,CIBG,
diergeneesmiddeleninformatiebank.nl,http://www.diergeneesmiddeleninformatiebank.nl,Overheid,VWS,CBG,
digicampus.tech,http://digicampus.tech,Rijksoverheid,BZK,Logius,
digid.nl,http://www.digid.nl,Rijksoverheid,BZK,Logius,DigiD
digikoppeling.com,http://www.digikoppeling.com,Rijksoverheid,BZK,AW,
digistandaarden.pleio.nl,http://digistandaarden.pleio.nl,Rijksoverheid,BZK,,
digitaal.scp.nl,http://digitaal.scp.nl,Rijksoverheid,VWS,SCP,
digitaalloket.raadvanstate.nl,http://digitaalloket.raadvanstate.nl,Overheid,RvS,,
digitaaltoegankelijk.pleio.nl,http://digitaaltoegankelijk.pleio.nl,Rijksoverheid,BZK,Logius,DigiToegankelijk
digitaleoverheid.nl,http://www.digitaleoverheid.nl,Rijksoverheid,BZK,,
digitaletoegang.nl,http://www.digitaletoegang.nl,Rijksoverheid,BZK,,
digitalezorgzandbak.nl,http://www.digitalezorgzandbak.nl,Rijksoverheid,VWS,ZIN,
digitaltrustcenter.nl,http://www.digitaltrustcenter.nl,Rijksoverheid,EZK,,DG B&I DE-DTC
digitoegankelijk.nl,http://www.digitoegankelijk.nl,Rijksoverheid,BZK,Logius,Informatievoorzieningen
dihoo.eu,http://www.dihoo.eu,Overheid,OCW,,
dihoo.nl,http://www.dihoo.nl,Overheid,OCW,,
directduidelijk.gebruikercentraal.nl,http://directduidelijk.gebruikercentraal.nl,Rijksoverheid,BZK,,
directduidelijk.nl,http://www.directduidelijk.nl,Rijksoverheid,BZK,,DGOO
dischargetest.com,http://www.dischargetest.com,Rijksoverheid,IenW,RWS,
disco.datawonen.nl,http://disco.datawonen.nl,Rijksoverheid,BZK,,
disportal.nl,http://www.disportal.nl,Overheid,VWS,NZa,
dji.nl,http://www.dji.nl,Rijksoverheid,JenV,DJI,
dnadatabank.forensischinstituut.nl,http://dnadatabank.forensischinstituut.nl,Rijksoverheid,JenV,NFI,
dnb.nl,http://www.dnb.nl,Overheid,FIN,DNB,
doc-direkt.nl,http://www.doc-direkt.nl,Rijksoverheid,BZK,,
docs.brba.eu/handleidingen,http://docs.brba.eu/handleidingen/,Rijksoverheid,VWS,,Kerndepartement/DI/CIO
doemeemetmdt.nl,http://www.doemeemetmdt.nl,Rijksoverheid,VWS,,Kerndepartement/MDT
doemeermettaal.nl,http://www.doemeermettaal.nl,Rijksoverheid,OCW,,
domeinenrz.nl,http://www.domeinenrz.nl,Rijksoverheid,FIN,,DRZ
donorgegevens.nl,http://www.donorgegevens.nl,Rijksoverheid,VWS,CIBG,
donorregister.nl,http://www.donorregister.nl,Rijksoverheid,VWS,CIBG,
doorstroomatlas-vmbo.nl,http://www.doorstroomatlas-vmbo.nl,Rijksoverheid,OCW,,
doortrappen.nl,http://www.doortrappen.nl,Rijksoverheid,IenW,BSK,DGMo
doping.nl,http://www.doping.nl,Overheid,VWS,DA,
dopingautoriteit.nl,http://www.dopingautoriteit.nl,Overheid,VWS,DA,
dopinginfo.nl,http://www.dopinginfo.nl,Overheid,VWS,DA,
dopingwaaier.nl,http://www.dopingwaaier.nl,Overheid,VWS,DA,
douane-inzicht.nl,http://douane-inzicht.nl,Rijksoverheid,FIN,Belastingdienst,Douane
dp2021.deltaprogramma.nl,http://dp2021.deltaprogramma.nl,Rijksoverheid,IenW,BSK,DC
dp2022.deltaprogramma.nl,http://dp2022.deltaprogramma.nl,Rijksoverheid,IenW,BSK,DC
draaiboekhielprikscreening.rivm.nl,http://draaiboekhielprikscreening.rivm.nl,Rijksoverheid,VWS,RIVM,
draaiboekpsie.nl,http://draaiboekpsie.nl,Rijksoverheid,VWS,RIVM,
dranquilo.nl,http://www.dranquilo.nl,Rijksoverheid,VWS,,Kerndepartement/VGP
drop.overheid.nl,http://drop.overheid.nl,Overheid,BZK,UBR,KOOP
drrteam-dsswater.nl,http://www.drrteam-dsswater.nl,Overheid,EZK,RVO,
drupaloverheid.nl,http://www.drupaloverheid.nl,Rijksoverheid,EZK,DICTU,
dsta.nl,http://www.dsta.nl,Rijksoverheid,FIN,,AGT/FM
duo.nl,http://www.duo.nl,Rijksoverheid,OCW,DUO,
dus-i.nl,http://www.dus-i.nl,Rijksoverheid,VWS,,Kerndepartement/DUS-I
dustex.nl,http://www.dustex.nl,Rijksoverheid,VWS,RIVM,
dutchculturekorea.com,http://dutchculturekorea.com,Rijksoverheid,BUZA,,
dutchcultureusa.com,http://www.dutchcultureusa.com,Rijksoverheid,BUZA,,
dutchdigitaldelta.nl,http://dutchdigitaldelta.nl,Overheid,EZK,ECP,
dutchdubai.com,http://dutchdubai.com,Rijksoverheid,BUZA,,
dutchhousingpolicy.nl,http://www.dutchhousingpolicy.nl,Rijksoverheid,BZK,,DGBRW/PDGOW
dutch-id-documents.nl,http://www.dutch-id-documents.nl,Rijksoverheid,JenV,IND,
dutchoffshorewindatlas.nl,http://www.dutchoffshorewindatlas.nl,Rijksoverheid,IenW,KNMI,
dutchrapporteur.nl,http://www.dutchrapporteur.nl,Rijksoverheid,JenV,,
dutchsocialmediaguide.nl,http://www.dutchsocialmediaguide.nl,Rijksoverheid,BUZA,,
duurzaamdoor.nl,http://www.duurzaamdoor.nl,Rijksoverheid,EZK,RVO,
duurzaamgww.nl,http://www.duurzaamgww.nl,Rijksoverheid,EZK,RVO,
duurzaamheidsroutea35.nl,http://www.duurzaamheidsroutea35.nl,Rijksoverheid,IenW,RWS,
duurzameinzetbaarheid.nl,http://www.duurzameinzetbaarheid.nl,Rijksoverheid,SZW,Inspectie SZW,
dv2030.nl,http://www.dv2030.nl,Rijksoverheid,VWS,RIVM,
dwangindezorg.nl,http://www.dwangindezorg.nl,Rijksoverheid,VWS,,Kerndepartement/LZ
dynamo-hia.eu,http://www.dynamo-hia.eu,Rijksoverheid,VWS,RIVM,
earonline.nl,http://www.earonline.nl,Rijksoverheid,BZK,,
e-bieb.org,http://www.e-bieb.org,Overheid,OCW,KB,
ecer.minbuza.nl,http://ecer.minbuza.nl,Rijksoverheid,BUZA,,
e-cert.nl,http://e-cert.nl,Rijksoverheid,LNV,NVWA,
eentegeneenzaamheid.nl,http://www.eentegeneenzaamheid.nl,Rijksoverheid,VWS,,Kerndepartement/DMO
eenzaam.nl,http://www.eenzaam.nl,Rijksoverheid,VWS,,Kerndepartement/DMO
eerstekamer.nl,http://www.eerstekamer.nl,Overheid,EK,,
efeat.org,http://www.efeat.org,Rijksoverheid,VWS,RIVM,
eherkenning.nl,http://www.eherkenning.nl,Rijksoverheid,BZK,Logius,Informatievoorzieningen
eigenkracht.nl,http://www.eigenkracht.nl,Overheid,VWS,DA,
eiti.nl,http://www.eiti.nl,Rijksoverheid,EZK,RVO,
elearning.dopingautoriteit.nl,http://elearning.dopingautoriteit.nl,Overheid,VWS,DA,
elo.oidji.nl,http://elo.oidji.nl,Rijksoverheid,JenV,DJI,Opleidingsinstituut DJI
emaddc.com,http://www.emaddc.com,Rijksoverheid,IenW,KNMI,
emissieautoriteit.nl,http://www.emissieautoriteit.nl,Overheid,EZK,NEA,
emissieregistratie.nl,http://www.emissieregistratie.nl,Rijksoverheid,VWS,RIVM,
emissionsauthority.nl,http://www.emissionsauthority.nl,Overheid,EZK,NEA,
e-mjv.nl,http://www.e-mjv.nl,Rijksoverheid,VWS,RIVM,
emnnetherlands.nl,http://www.emnnetherlands.nl,Rijksoverheid,JenV,IND,
en.biodiversiteit.nl,http://en.biodiversiteit.nl,Rijksoverheid,LNV,SK&I,DG AGRO
en.rli.nl,http://en.rli.nl,Overheid,IenW,RLI,
energiecijfers.databank.nl,http://energiecijfers.databank.nl,Rijksoverheid,EZK,RVO,
energiehout.com,http://www.energiehout.com,Overheid,LNV,Staatsbosbeheer,
energieoprijksgrond.nl,http://www.energieoprijksgrond.nl,Rijksoverheid,EZK,RVO,
energierijkdenhaag.nl,http://www.energierijkdenhaag.nl,Rijksoverheid,BZK,,
energieslag.rvo.nl,http://energieslag.rvo.nl,Rijksoverheid,EZK,RVO,
energiesubsidiewijzer.nl,http://www.energiesubsidiewijzer.nl,Rijksoverheid,EZK,RVO,
english.aivd.nl,http://english.aivd.nl,Rijksoverheid,BZK,AIVD,
english.autoriteitnvs.nl,http://english.autoriteitnvs.nl,Rijksoverheid,IenW,ANVS,
english.awti.nl,http://english.awti.nl,Overheid,OCW,AWTI,
english.bigregister.nl,http://english.bigregister.nl,Rijksoverheid,VWS,CIBG,
english.cannabisbureau.nl,http://english.cannabisbureau.nl,Rijksoverheid,VWS,CIBG,
english.cbgjaarverslag.nl,http://english.cbgjaarverslag.nl,Overheid,VWS,CBG,
english.cbg-meb.nl,http://english.cbg-meb.nl,Overheid,VWS,CBG,
english.ccmo.nl,http://english.ccmo.nl,Overheid,VWS,,Kerndepartement/CCMO
english.collegevanrijksadviseurs.nl,http://english.collegevanrijksadviseurs.nl,Rijksoverheid,BZK,RVB,
english.ctgb.nl,http://english.ctgb.nl,Overheid,LNV,CTGB,
english.ctivd.nl,http://english.ctivd.nl,Overheid,AZ,CTIVD,
english.cultureelerfgoed.nl,http://english.cultureelerfgoed.nl,Rijksoverheid,OCW,RCE,
english.defensie.nl,http://english.defensie.nl,Rijksoverheid,DEF,,Directie Communicatie
english.deltaprogramma.nl,http://english.deltaprogramma.nl,Rijksoverheid,IenW,BSK,DC
english.dggf.nl,http://english.dggf.nl,Rijksoverheid,BUZA,,DGGF
english.dienstterugkeerenvertrek.nl,http://english.dienstterugkeerenvertrek.nl,Rijksoverheid,JenV,DT&V,
english.domeinenrz.nl,http://english.domeinenrz.nl,Rijksoverheid,FIN,,DRZ
english.donorregister.nl,http://english.donorregister.nl,Rijksoverheid,VWS,CIBG,
english.dsta.nl,http://english.dsta.nl,Rijksoverheid,FIN,,AGT/FM
english.euthanasiecommissie.nl,http://english.euthanasiecommissie.nl,Rijksoverheid,VWS,CIBG,
english.farmatec.nl,http://english.farmatec.nl,Rijksoverheid,VWS,CIBG,
english.igj.nl,http://english.igj.nl,Rijksoverheid,VWS,IGJ,
english.ilent.nl,http://english.ilent.nl,Rijksoverheid,IenW,ILT,
english.inspectie-oe.nl,http://english.inspectie-oe.nl,Rijksoverheid,OCW,I-OE,
english.iob-evaluatie.nl,http://english.iob-evaluatie.nl,Rijksoverheid,BUZA,IOB,
english.kabinetvandekoning.nl,http://english.kabinetvandekoning.nl,Overheid,AZ,RVD,KvdK
english.kiesraad.nl,http://english.kiesraad.nl,Overheid,BZK,Kiesraad,
english.kimnet.nl,http://english.kimnet.nl,Rijksoverheid,IenW,BSK,KiM
english.knmidata.nl,http://english.knmidata.nl,Rijksoverheid,IenW,KNMI,
english.mh17magazine.nl,http://english.mh17magazine.nl,Overheid,JenV,OM,JIT
english.mh17magazine.nl/investigationmh17,http://english.mh17magazine.nl/investigationmh17,Overheid,JenV,OM,JIT
english.mijncn.nl,http://english.mijncn.nl,Overheid,BZK,RCN,
english.ncadierproevenbeleid.nl,http://english.ncadierproevenbeleid.nl,Rijksoverheid,LNV,NCAD ,
english.ncsc.nl,http://english.ncsc.nl,Rijksoverheid,JenV,NCSC,
english.nctv.nl,http://english.nctv.nl,Rijksoverheid,JenV,NCTV,
english.ndw.nu,http://english.ndw.nu,Rijksoverheid,IenW,RWS,NDW
english.nrgd.nl,http://english.nrgd.nl,Overheid,JenV,NRGD,
english.nvwa.nl,http://english.nvwa.nl,Rijksoverheid,LNV,NVWA,
english.onderwijsinspectie.nl,http://english.onderwijsinspectie.nl,Rijksoverheid,OCW,OI,
english.postedworkers.nl,http://english.postedworkers.nl,Rijksoverheid,SZW,,DGW/AV
english.rda.nl,http://english.rda.nl,Overheid,LNV,RDA,
english.rekenkamer.nl,http://english.rekenkamer.nl,Overheid,AR,,
english.rijksdienstcn.com,http://english.rijksdienstcn.com,Overheid,BZK,RCN,
english.rijksvastgoedbedrijf.nl,http://english.rijksvastgoedbedrijf.nl,Rijksoverheid,BZK,RVB,
english.rivmmagazines.nl,http://english.rivmmagazines.nl,Rijksoverheid,VWS,RIVM,
english.rvo.nl,http://english.rvo.nl,Rijksoverheid,EZK,RVO,
english.rvomagazines.nl,http://english.rvomagazines.nl,Rijksoverheid,EZK,RVO,
english.scp.nl,http://english.scp.nl,Rijksoverheid,VWS,SCP,
english.sso3w.nl,http://english.sso3w.nl,Rijksoverheid,BUZA,,
english.uitvoeringvanbeleidszw.nl,http://english.uitvoeringvanbeleidszw.nl,Rijksoverheid,SZW,,PSG/DSU/UVB
english.waterenklimaat.nl,http://english.waterenklimaat.nl,Rijksoverheid,IenW,,
english.wegwijzermensenhandel.nl,http://english.wegwijzermensenhandel.nl,Rijksoverheid,JenV,,
english.wodc.nl,http://english.wodc.nl,Rijksoverheid,JenV,WODC,
english.wrr.nl,http://english.wrr.nl,Overheid,AZ,WRR,
english.zorginstituutnederland.nl,http://english.zorginstituutnederland.nl,Rijksoverheid,VWS,ZIN,
enterpriseeuropenetwork.nl,http://www.enterpriseeuropenetwork.nl,Rijksoverheid,EZK,RVO,
enwinfo.nl,http://www.enwinfo.nl,Rijksoverheid,IenW,RWS,
ep-online.nl,http://www.ep-online.nl,Rijksoverheid,EZK,RVO,
equal-life.eu,http://www.equal-life.eu,Rijksoverheid,VWS,RIVM,
eranetbioenergy.net,http://eranetbioenergy.net,Rijksoverheid,EZK,RVO,
erelijst.nl,http://www.erelijst.nl,Overheid,TK,,
erfgoeddeal.nl,http://www.erfgoeddeal.nl,Rijksoverheid,OCW,RCE,
erfgoedmonitor.nl,http://www.erfgoedmonitor.nl,Rijksoverheid,OCW,RCE,
e-rihs.nl,http://e-rihs.nl,Rijksoverheid,OCW,RCE,
ertms.nl,http://www.ertms.nl,Rijksoverheid,IenW,BSK,DGMo
eucaris.net,http://www.eucaris.net,Overheid,IenW,RDW,
eumetcal.eu,http://www.eumetcal.eu,Rijksoverheid,VWS,RIVM,
eunethta.eu,http://www.eunethta.eu,Rijksoverheid,VWS,ZIN,
eunieuws.tweedekamer.nl,http://eunieuws.tweedekamer.nl,Overheid,TK,,
euphix.org,http://www.euphix.org,Rijksoverheid,VWS,RIVM,
eurlplanthealth.pleio.nl,http://eurlplanthealth.pleio.nl,Rijksoverheid,LNV,,
eurlsalmonella.eu,http://www.eurlsalmonella.eu,Rijksoverheid,VWS,RIVM,
eurofawc.com,http://www.eurofawc.com,Overheid,LNV,RDA,
europeanpartnership-responsibleminerals.eu,http://europeanpartnership-responsibleminerals.eu,Rijksoverheid,EZK,RVO,DIGG
eurovignettes.eu,http://www.eurovignettes.eu,Rijksoverheid,FIN,Belastingdienst,
euthanasiecommissie.nl,http://www.euthanasiecommissie.nl,Rijksoverheid,VWS,CIBG,
euwijzer.waterenklimaat.nl,http://euwijzer.waterenklimaat.nl,Rijksoverheid,IenW,,
ewnederland.nl,http://www.ewnederland.nl,Overheid,EZK,Edelmetaal Waarborg Nederland,
examenblad.nl,http://www.examenblad.nl,Rijksoverheid,OCW,CVTE,
examenbladmbo.nl,http://www.examenbladmbo.nl,Rijksoverheid,OCW,CVTE,
excellentescholen.nl,http://www.excellentescholen.nl,Rijksoverheid,OCW,OI,
expeditierws2050.nl,http://www.expeditierws2050.nl,Rijksoverheid,IenW,RWS,RWS Bestuursstaf
expertisecentrumlyme.nl,http://www.expertisecentrumlyme.nl,Rijksoverheid,VWS,RIVM,NLe
expertisecentrummggz.nl,http://www.expertisecentrummggz.nl,Rijksoverheid,DEF,MGGZ,
expertisecentrumwarmte.nl,http://www.expertisecentrumwarmte.nl,Rijksoverheid,EZK,RVO,
expertpanel.gebruikercentraal.nl,http://expertpanel.gebruikercentraal.nl,Rijksoverheid,BZK,,
extranet.nifp.nl,http://extranet.nifp.nl,Rijksoverheid,JenV,DJI,NIFP
ez.maps.arcgis.com,http://ez.maps.arcgis.com,Rijksoverheid,EZK,RVO,
ezips.rivm.nl,http://ezips.rivm.nl,Rijksoverheid,VWS,RIVM,
ezoefapp.nl,http://ezoefapp.nl,Rijksoverheid,EZK,DICTU,
facturen.ubrijk.nl,http://facturen.ubrijk.nl,Rijksoverheid,BZK,UBR,
faculteitmilitairewetenschappen.nl,http://faculteitmilitairewetenschappen.nl,Rijksoverheid,DEF,NLDA,FMW
fairproject.org,http://fairproject.org,Rijksoverheid,IenW,RWS,
farmacotherapeutischkompas.nl,http://www.farmacotherapeutischkompas.nl,Rijksoverheid,VWS,ZIN,
farmatec.nl,http://www.farmatec.nl,Rijksoverheid,VWS,CIBG,
fcinet.org,http://www.fcinet.org,Rijksoverheid,FIN,Belastingdienst,FIOD
federatieveservice.nl,http://federatieveservice.nl,Rijksoverheid,JenV,Justid,
feedfoodtransfer.nl,http://www.feedfoodtransfer.nl,Rijksoverheid,VWS,RIVM,
festivalforensischezorg.nl,http://www.festivalforensischezorg.nl,Rijksoverheid,JenV,DJI,
filmfonds.nl,http://www.filmfonds.nl,Overheid,OCW,NFF,
financieelfittewerknemers.nl,http://www.financieelfittewerknemers.nl,Rijksoverheid,FIN,,AGT/FM
financiering.versnellingshuisce.nl,http://financiering.versnellingshuisce.nl,Rijksoverheid,IenW,BSK,DGMI
findo.nl,http://findo.nl,Rijksoverheid,BZK,,DGBRW/PDGOW
fiod.nl,http://www.fiod.nl,Rijksoverheid,FIN,Belastingdienst,FIOD
fiscaletaxonomie.pleio.nl,http://fiscaletaxonomie.pleio.nl,Rijksoverheid,FIN,Belastingdienst,
fitopjouwmanier.nl,http://www.fitopjouwmanier.nl,Rijksoverheid,VWS,,
fiu-nederland.nl,http://www.fiu-nederland.nl,Overheid,JenV,Politie,
flitspanel.nl,http://flitspanel.nl,Rijksoverheid,BZK,,
fmhaaglanden.nl,http://www.fmhaaglanden.nl,Rijksoverheid,BZK,FMH,
fondspodiumkunsten.nl,http://fondspodiumkunsten.nl,Overheid,OCW,FPk,
forensicinstitute.nl,http://www.forensicinstitute.nl,Rijksoverheid,JenV,NFI,
forensischezorg.nl,http://www.forensischezorg.nl,Rijksoverheid,JenV,DJI,
forensischinstituut.nl,http://www.forensischinstituut.nl,Rijksoverheid,JenV,NFI,
formulierdus-i.nl,http://www.formulierdus-i.nl,Rijksoverheid,VWS,,Kerndepartement/DUS-I
fortbijrijnauwen.staatsbosbeheer.nl,http://fortbijrijnauwen.staatsbosbeheer.nl,Overheid,LNV,Staatsbosbeheer,
forum.topinkomens.nl,http://forum.topinkomens.nl,Rijksoverheid,BZK,,
forumstandaardisatie.nl,http://www.forumstandaardisatie.nl,Rijksoverheid,BZK,Logius,BFS
francais.dggf.nl,http://francais.dggf.nl,Rijksoverheid,BUZA,,DGGF
functiegebouwrijksoverheid.nl,http://www.functiegebouwrijksoverheid.nl,Rijksoverheid,BZK,P-direkt,
functiemix.nl,http://www.functiemix.nl,Rijksoverheid,OCW,,
functieruilrijk.nl,http://www.functieruilrijk.nl,Rijksoverheid,BZK,P-direkt,
gab.pleio.nl,http://gab.pleio.nl,Rijksoverheid,BZK,Logius,
gatewayreview.nl,http://www.gatewayreview.nl,Rijksoverheid,BZK,UBR,
gddiergezondheid.nl,http://www.gddiergezondheid.nl,Rijksoverheid,EZK,,
gds.dopingautoriteit.nl,http://gds.dopingautoriteit.nl,Overheid,VWS,DA,
gebiedagen2.waddenzee.nl,http://gebiedagen2.waddenzee.nl,Rijksoverheid,IenW,RWS,
gebruikercentraal.nl,http://www.gebruikercentraal.nl,Rijksoverheid,BZK,,
gegevensportaal.belastingdienst.nl,http://gegevensportaal.belastingdienst.nl,Rijksoverheid,FIN,Belastingdienst,
gegevensuitwisselingindezorg.nl,http://www.gegevensuitwisselingindezorg.nl,Rijksoverheid,VWS,,Kerndepartement/DI/CIO
geheugenvannederland.nl,http://www.geheugenvannederland.nl,Overheid,OCW,KB,
geldlessen.nl,http://www.geldlessen.nl,Rijksoverheid,FIN,,AGT/FM
geleacademie.nl,http://www.geleacademie.nl,Rijksoverheid,IenW,RWS,
gelijke-kansen.nl,http://www.gelijke-kansen.nl,Rijksoverheid,OCW,GKA,
geluidregisterspoor.nl,http://www.geluidregisterspoor.nl,Rijksoverheid,IenW,BSK,DGMo
gemhofvanjustitie.org,http://www.gemhofvanjustitie.org,Overheid,JenV,GHvJ,
geneesmiddeleninformatiebank.nl,http://www.geneesmiddeleninformatiebank.nl,Overheid,VWS,CBG,
geobasisregistraties.nl,http://www.geobasisregistraties.nl,Rijksoverheid,BZK,,
geodata.basisinformatie-overstromingen.nl,http://geodata.basisinformatie-overstromingen.nl,Rijksoverheid,IenW,RWS,
geodata.nationaalgeoregister.nl,http://geodata.nationaalgeoregister.nl,Overheid,BZK,Kadaster,
geoforum.nl,http://geoforum.nl,Overheid,BZK,Kadaster,
geotool.watermarkt.nl,http://geotool.watermarkt.nl,Rijksoverheid,IenW,RWS,
geozet.koop.overheid.nl/overuwbuurt/onl,http://geozet.koop.overheid.nl/overuwbuurt/onl/,Overheid,BZK,UBR,KOOP
gerechtelijkebrief.nl,http://www.gerechtelijkebrief.nl,Rijksoverheid,BZK,UBR,
gerned380.nl,http://www.gerned380.nl,Rijksoverheid,EZK,,DGETM/TeNNeT
